idBook	idBookRecommended
246721	246721
246722	245876
246722	246722
246722	248059
246722	249876
246722	250015
246722	251531
246722	258481
246722	260544
246722	269814
246722	275122
246722	283565
246722	286474
246722	286760
246722	288771
246722	290078
246722	291434
246722	292671
246722	382919
246722	868448
246736	349808
246736	540316
246736	246736
246736	757326
246736	1427597
246736	1478213
246736	324526
246736	374304
246736	402918
246736	441352
246736	447617
246736	456350
246736	264431
246736	363063
246736	515182
246736	1452338
246736	3154152
246770	247483
246770	251413
246770	278012
246770	287854
246770	304380
246770	323694
246770	249139
246770	257995
246770	268625
246770	283768
246770	362774
246770	695063
246770	245893
246770	254093
246770	268680
246770	291255
246770	293803
246770	389139
246783	251411
246783	247090
246783	248382
246783	251235
246783	247590
246783	255366
246783	260175
246783	248164
246783	251445
246783	286159
246783	315281
246783	251119
246783	251894
246783	246783
246787	252228
246787	435394
246787	253153
246787	277514
246787	258058
246787	248289
246787	249489
246787	267257
246787	255221
246787	253919
246787	253201
246787	407700
246787	373972
246787	289659
246787	485594
246787	343322
246787	249348
246787	386829
246792	251688
246792	255315
246792	274468
246792	248162
246792	249851
246792	246909
246792	246792
246792	249700
246792	253619
246792	245765
246792	347727
246792	246116
246792	250742
246792	250114
246792	246668
246792	247923
246792	247382
246792	246201
246792	251835
246818	515182
246818	757326
246818	291434
246818	540316
246818	1478213
246818	447617
246818	1452338
246818	3154152
246818	392530
246818	254113
246818	257337
246818	290078
246818	382919
246818	391132
246818	374304
246818	254869
246818	292671
246818	246818
246855	246721
246855	248977
246855	246119
246855	247330
246855	248653
246855	249355
246855	247051
246855	248154
246855	252531
246855	246790
246855	247526
246855	251789
246855	248928
246855	251859
246855	246093
246855	256696
246855	261067
246855	249119
246864	250516
246864	275788
246864	296829
246864	399017
246864	555244
246864	253219
246864	262372
246864	286285
246864	720605
246864	249606
246864	278385
246864	272226
246864	274803
246864	466667
246927	246148
246927	246927
246927	249165
246927	249213
246927	252581
246927	287661
247053	247053
247053	298728
247053	301904
247053	305382
247053	311657
247053	323047
247053	327010
247053	440333
247053	447700
247053	509748
247053	629745
247053	786254
247067	247067
247067	247947
247067	248801
247067	249122
247067	249524
247067	252162
247067	257929
247067	270972
247067	287291
247067	290505
247067	297334
247067	298374
247067	306789
247067	311035
247067	388304
247067	458312
247067	723315
247189	374304
247189	324526
247189	456350
247189	515182
247189	540316
247189	349808
247189	402918
247189	447617
247189	472735
247189	695063
247189	259245
247189	1452338
247189	254869
247189	1478213
247189	264431
247189	253453
247189	247189
247237	251814
247237	253591
247237	254201
247237	291125
247237	381449
247237	382892
247237	507335
247237	511345
247237	259173
247237	265808
247237	279274
247237	315813
247237	247237
247284	246446
247284	246930
247284	246167
247284	307905
247284	268472
247284	246715
247284	271501
247284	266989
247284	245803
247284	247776
247284	307959
247284	251672
247284	246200
247284	247131
247284	249462
247284	249067
247284	256916
247284	249033
247284	247284
247319	256261
247319	737358
247319	742800
247319	247574
247319	286955
247319	366811
247319	259773
247319	290561
247319	671516
247319	257851
247373	255816
247373	259805
247373	263467
247373	251574
247373	247973
247373	255789
247373	283681
247373	247029
247373	247373
247566	1030589
247566	1203913
247566	245801
247566	246663
247566	247416
247566	248210
247566	248559
247566	248814
247566	249203
247566	250065
247566	250565
247566	251248
247566	254486
